,precision,recall,f1-score,support
NORMAL,0.9937178754997145,0.9791783905458639,0.9863945578231292,1777.0
MEDIUM,0.881619937694704,0.930921052631579,0.9056,304.0
HIGH,0.9380165289256198,0.9742489270386266,0.9557894736842105,233.0
CRITICAL,0.9846625766871165,0.9846625766871165,0.9846625766871165,326.0
accuracy,0.9738636363636364,0.9738636363636364,0.9738636363636364,0.9738636363636364
macro avg,0.9495042297017887,0.9672527367257965,0.958111652048614,2640.0
weighted avg,0.9747753700991864,0.9738636363636364,0.9741759381136825,2640.0
