,precision,recall,f1-score,support
NORMAL,0.9950877192982456,0.9950877192982456,0.9950877192982456,1425.0
MEDIUM,0.9298245614035088,0.9464285714285714,0.9380530973451328,280.0
HIGH,0.9330143540669856,0.9198113207547169,0.9263657957244655,212.0
CRITICAL,0.9849056603773585,0.9775280898876404,0.981203007518797,267.0
accuracy,0.9793956043956044,0.9793956043956044,0.9793956043956044,0.9793956043956044
macro avg,0.9607080737865246,0.9597139253422936,0.9601774049716603,2184.0
weighted avg,0.9794504265457592,0.9793956043956044,0.9794073346876111,2184.0
