,precision,recall,f1-score,support
NORMAL,0.9985652797704447,0.9768421052631578,0.9875842497339482,1425.0
MEDIUM,0.8338461538461538,0.9678571428571429,0.8958677685950414,280.0
HIGH,0.9326424870466321,0.8490566037735849,0.8888888888888888,212.0
CRITICAL,0.9595588235294118,0.9775280898876404,0.9684601113172542,267.0
accuracy,0.9633699633699634,0.9633699633699634,0.9633699633699634,0.9633699633699634
macro avg,0.9311531860481607,0.9428209854453815,0.9352002546337832,2184.0
weighted avg,0.9662796977500209,0.9633699633699634,0.9639074291408604,2184.0
