,precision,recall,f1-score,support
NORMAL,0.9930515344528084,0.9651097355092854,0.9788812785388128,1777.0
MEDIUM,0.8044692737430168,0.9473684210526315,0.8700906344410876,304.0
HIGH,0.9493670886075949,0.9656652360515021,0.9574468085106383,233.0
CRITICAL,1.0,0.9754601226993865,0.9875776397515528,326.0
accuracy,0.9643939393939394,0.9643939393939394,0.9643939393939394,0.9643939393939394
macro avg,0.936721974200855,0.9634008788282014,0.9484990903105228,2640.0
weighted avg,0.9683385483280634,0.9643939393939394,0.9655359855210401,2640.0
