,precision,recall,f1-score,support
NORMAL,0.9929775280898876,0.992280701754386,0.9926289926289926,1425.0
MEDIUM,0.9485294117647058,0.9214285714285714,0.9347826086956522,280.0
HIGH,0.9035087719298246,0.9716981132075472,0.9363636363636364,212.0
CRITICAL,0.9884615384615385,0.9625468164794008,0.9753320683111955,267.0
accuracy,0.9775641025641025,0.9775641025641025,0.9775641025641025,0.9775641025641025
macro avg,0.9583693125614892,0.9619885507174764,0.9597768264998692,2184.0
weighted avg,0.9780422633885353,0.9775641025641025,0.9776365375820866,2184.0
