model_name,forecast_mae,forecast_rmse,forecast_r2,forecast_normalized_mae,forecast_normalized_rmse,latency_ms,latency_sla_score,params,model_path,rmse_score,mae_score,r2_score,forecast_score
LSTMForecaster,2.447739601135254,4.710873603820801,0.9925114512443542,0.029865586648573073,0.04458164352269824,1.532233499965514,0.5,144632,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\LSTMForecaster.pt,1.0,1.0,1.0,0.9500000000000001
GRUForecaster,2.6279518604278564,4.868683338165283,0.9920012950897217,0.0312629653346997,0.045197365455753674,4.212298999991617,0.5,115448,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\GRUForecaster.pt,0.8460934978594062,0.674758843965656,0.8588648506035222,0.7534327221222705
MLPForecaster,2.770480155944824,5.003068923950195,0.9915536642074585,0.03345510655887156,0.04724182607071562,0.23034800004097633,1.0,140792,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\MLPForecaster.pt,0.7150317763998032,0.41752846583540376,0.7350273728645867,0.6424017795320006
CNN1DForecaster,3.0018277168273926,5.736234664916992,0.9888967871665955,0.03620387327262655,0.05202924208236961,0.3845135000301525,1.0,91416,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\CNN1DForecaster.pt,0.0,0.0,0.0,0.1
