,precision,recall,f1-score,support
NORMAL,0.9976621858562245,0.9606077658975802,0.9787844036697247,1777.0
MEDIUM,0.7882037533512064,0.9671052631578947,0.8685376661742984,304.0
HIGH,0.9449152542372882,0.9570815450643777,0.9509594882729211,233.0
CRITICAL,0.996875,0.9785276073619632,0.9876160990712074,326.0
accuracy,0.9632575757575758,0.9632575757575758,0.9632575757575758,0.9632575757575758
macro avg,0.9319140483611796,0.9658305453704539,0.9464744142970378,2640.0
weighted avg,0.9687902081524871,0.9632575757575758,0.9647241457965497,2640.0
