model_name,accuracy,macro_f1,weighted_f1,high_recall,critical_recall,latency_ms,latency_sla_score,params,classification_score,model_path
MLPClassifier,0.9775641025641025,0.9597768264998692,0.9776365375820866,0.9716981132075472,0.9625468164794008,0.1550445000611944,1.0,88228,0.9673334635227081,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\MLPClassifier_current_classifier.pt
CNN1DClassifier,0.967032967032967,0.9404181166828833,0.9671119027644505,0.9245283018867925,0.9775280898876404,0.5181095000443747,1.0,28900,0.9498258459565238,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\CNN1DClassifier_current_classifier.pt
LSTMClassifier,0.9633699633699634,0.9352002546337832,0.9639074291408604,0.8490566037735849,0.9775280898876404,1.8976990000373917,0.5,87364,0.8786098835061268,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\LSTMClassifier_current_classifier.pt
GRUClassifier,0.9793956043956044,0.9601774049716603,0.9794073346876111,0.9198113207547169,0.9775280898876404,10.634648999985075,0.0,66884,0.8575382804034544,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\GRUClassifier_current_classifier.pt
