,precision,recall,f1-score,support
NORMAL,0.9922371206774877,0.9866666666666667,0.9894440534834623,1425.0
MEDIUM,0.9120879120879121,0.8892857142857142,0.9005424954792043,280.0
HIGH,0.8828828828828829,0.9245283018867925,0.9032258064516129,212.0
CRITICAL,0.9595588235294118,0.9775280898876404,0.9684601113172542,267.0
accuracy,0.967032967032967,0.967032967032967,0.967032967032967,0.967032967032967
macro avg,0.9366916847944236,0.9445021931817035,0.9404181166828833,2184.0
weighted avg,0.9673515977122527,0.967032967032967,0.9671119027644505,2184.0
