model_name,accuracy,macro_f1,weighted_f1,high_recall,critical_recall,latency_ms,latency_sla_score,params,classification_score,model_path
LSTMClassifier,0.9738636363636364,0.958111652048614,0.9741759381136825,0.9742489270386266,0.9846625766871165,0.6637700000283075,1.0,87364,0.9716449905189563,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\LSTMClassifier_future_classifier.pt
MLPClassifier,0.9643939393939394,0.9484990903105228,0.9655359855210401,0.9656652360515021,0.9754601226993865,0.11431899998569861,1.0,42148,0.9633329241924881,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\MLPClassifier_future_classifier.pt
CNN1DClassifier,0.9632575757575758,0.9464744142970378,0.9647241457965497,0.9570815450643777,0.9785276073619632,0.3249839999625692,1.0,28900,0.960889394172154,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\CNN1DClassifier_future_classifier.pt
GRUClassifier,0.975,0.9594425291941562,0.975168569440477,0.944206008583691,0.9846625766871165,1.4358579999679932,0.5,66884,0.9147331556207163,C:\Users\trogj\OneDrive\Документы\system-monitor\system-monitor-agent-separated\artifacts\models\GRUClassifier_future_classifier.pt
